epoch_s,local_time,dt_s,section,paddle,slat,mem_index,diff,rate_hz
1771364286,2026-02-17 21:38:06,0.000000,TOP,103,1,63,0,0.000000
1771364286,2026-02-17 21:38:06,0.000000,TOP,103,2,62,0,0.000000
1771364286,2026-02-17 21:38:06,0.000000,TOP,300,1,58,0,0.000000
1771364286,2026-02-17 21:38:06,0.000000,TOP,300,2,59,0,0.000000
1771364286,2026-02-17 21:38:06,0.000000,TOP,80,1,60,0,0.000000
1771364286,2026-02-17 21:38:06,0.000000,TOP,80,2,61,0,0.000000
1771364286,2026-02-17 21:38:06,0.000000,TOP,303,1,50,0,0.000000
1771364286,2026-02-17 21:38:06,0.000000,TOP,303,2,57,0,0.000000
1771364286,2026-02-17 21:38:06,0.000000,TOP,88,1,56,0,0.000000
1771364286,2026-02-17 21:38:06,0.000000,TOP,88,2,54,0,0.000000
1771364286,2026-02-17 21:38:06,0.000000,TOP,30,1,127,0,0.000000
1771364286,2026-02-17 21:38:06,0.000000,TOP,30,2,126,0,0.000000
1771364286,2026-02-17 21:38:06,0.000000,TOP,34,1,106,0,0.000000
1771364286,2026-02-17 21:38:06,0.000000,TOP,34,2,107,0,0.000000
1771364286,2026-02-17 21:38:06,0.000000,TOP,74,1,108,0,0.000000
1771364286,2026-02-17 21:38:06,0.000000,TOP,74,2,110,0,0.000000
1771364286,2026-02-17 21:38:06,0.000000,TOP,47,1,112,0,0.000000
1771364286,2026-02-17 21:38:06,0.000000,TOP,47,2,114,0,0.000000
1771364286,2026-02-17 21:38:06,0.000000,TOP,115,1,116,0,0.000000
1771364286,2026-02-17 21:38:06,0.000000,TOP,115,2,118,0,0.000000
1771364286,2026-02-17 21:38:06,0.000000,TOP,46,1,119,0,0.000000
1771364286,2026-02-17 21:38:06,0.000000,TOP,46,2,117,0,0.000000
1771364286,2026-02-17 21:38:06,0.000000,TOP,167,1,115,0,0.000000
1771364286,2026-02-17 21:38:06,0.000000,TOP,167,2,113,0,0.000000
1771364286,2026-02-17 21:38:06,0.000000,TOP,90,1,111,0,0.000000
1771364286,2026-02-17 21:38:06,0.000000,TOP,90,2,109,0,0.000000
1771364286,2026-02-17 21:38:06,0.000000,TOP,302,1,120,0,0.000000
1771364286,2026-02-17 21:38:06,0.000000,TOP,302,2,121,0,0.000000
